account_id,vpa,bank_name,account_age_days,kyc_tier,opened_at
ACC0000000,bakshianvi@okhdfcbank,SBI,1339,full,2022-12-01 08:00:00
ACC0000001,udantdewan@oksbi,ICICI,531,full,2025-02-16 08:00:00
ACC0000002,chahalpahal@ybl,HDFC,1415,full,2022-09-16 08:00:00
ACC0000003,balangirik@okhdfcbank,HDFC,95,full,2026-04-28 08:00:00
ACC0000004,virajtiwari@ybl,SBI,1064,full,2023-09-02 08:00:00
ACC0000005,issaconi@ybl,BOB,1496,full,2022-06-27 08:00:00
ACC0000006,saumyamall@okicici,SBI,1236,minimal,2023-03-14 08:00:00
ACC0000007,duttapahal@okaxis,Kotak,356,full,2025-08-10 08:00:00
ACC0000008,arunima23@okicici,HDFC,470,full,2025-04-18 08:00:00
ACC0000009,harsh16@okicici,Kotak,228,full,2025-12-16 08:00:00
ACC0000010,parmerhemangini@okhdfcbank,Paytm Payments Bank,1682,full,2021-12-23 08:00:00
ACC0000011,caleb78@okaxis,HDFC,1918,full,2021-05-01 08:00:00
ACC0000012,radhakrishnanfarhan@ybl,Kotak,1728,full,2021-11-07 08:00:00
ACC0000013,janaki93@okhdfcbank,SBI,1472,full,2022-07-21 08:00:00
ACC0000014,bathvedant@okicici,HDFC,1613,minimal,2022-03-02 08:00:00
ACC0000015,fariq31@okhdfcbank,BOB,1804,full,2021-08-23 08:00:00
ACC0000016,dmall@okicici,ICICI,1331,full,2022-12-09 08:00:00
ACC0000017,nicholas55@okicici,HDFC,459,full,2025-04-29 08:00:00
ACC0000018,amarabora@ybl,Axis,380,full,2025-07-17 08:00:00
ACC0000019,yashgade@okicici,Axis,807,full,2024-05-16 08:00:00
ACC0000020,rraghavan@okhdfcbank,Axis,1756,minimal,2021-10-10 08:00:00
ACC0000021,ektabhalla@okicici,BOB,1678,full,2021-12-27 08:00:00
ACC0000022,azadmutti@ybl,Kotak,462,full,2025-04-26 08:00:00
ACC0000023,eloyal@okaxis,Paytm Payments Bank,1052,full,2023-09-14 08:00:00
ACC0000024,divyakala@oksbi,PNB,315,full,2025-09-20 08:00:00
ACC0000025,prandhawa@ybl,BOB,907,full,2024-02-06 08:00:00
ACC0000026,qdhar@ybl,Paytm Payments Bank,313,full,2025-09-22 08:00:00
ACC0000027,yatinyohannan@okhdfcbank,ICICI,126,full,2026-03-28 08:00:00
ACC0000028,priya96@okaxis,HDFC,1652,full,2022-01-22 08:00:00
ACC0000029,theodore28@okaxis,PNB,1250,none,2023-02-28 08:00:00
ACC0000030,wchand@okhdfcbank,HDFC,1792,full,2021-09-04 08:00:00
ACC0000031,choudharymichael@okicici,Kotak,1129,full,2023-06-29 08:00:00
ACC0000032,pahalbhatt@oksbi,Paytm Payments Bank,920,full,2024-01-24 08:00:00
ACC0000033,mraj@okicici,ICICI,1508,full,2022-06-15 08:00:00
ACC0000034,qwadhwa@okicici,Axis,247,full,2025-11-27 08:00:00
